2026-02-06 08:42:00 [/mnt/ConvTasNet/ConvTasNet_Separation/trainer_wavlm_align.py:105 - INFO ] 从baseline预训练权重中加载
2026-02-06 08:42:01 [/mnt/ConvTasNet/ConvTasNet_Separation/trainer_wavlm_align.py:108 - INFO ] 从Wavlm预训练权重中加载
2026-02-06 08:42:08 [/mnt/ConvTasNet/ConvTasNet_Separation/trainer_wavlm_align.py:197 - INFO ] 冻结参数: wavlm_encoder.encoder.masked_spec_embed
2026-02-06 08:42:08 [/mnt/ConvTasNet/ConvTasNet_Separation/trainer_wavlm_align.py:197 - INFO ] 冻结参数: wavlm_encoder.encoder.feature_extractor.conv_layers.0.conv.weight
2026-02-06 08:42:08 [/mnt/ConvTasNet/ConvTasNet_Separation/trainer_wavlm_align.py:197 - INFO ] 冻结参数: wavlm_encoder.encoder.feature_extractor.conv_layers.0.layer_norm.weight
2026-02-06 08:42:08 [/mnt/ConvTasNet/ConvTasNet_Separation/trainer_wavlm_align.py:197 - INFO ] 冻结参数: wavlm_encoder.encoder.feature_extractor.conv_layers.0.layer_norm.bias
2026-02-06 08:42:08 [/mnt/ConvTasNet/ConvTasNet_Separation/trainer_wavlm_align.py:197 - INFO ] 冻结参数: wavlm_encoder.encoder.feature_extractor.conv_layers.1.conv.weight
2026-02-06 08:42:08 [/mnt/ConvTasNet/ConvTasNet_Separation/trainer_wavlm_align.py:197 - INFO ] 冻结参数: wavlm_encoder.encoder.feature_extractor.conv_layers.1.layer_norm.weight
2026-02-06 08:42:08 [/mnt/ConvTasNet/ConvTasNet_Separation/trainer_wavlm_align.py:197 - INFO ] 冻结参数: wavlm_encoder.encoder.feature_extractor.conv_layers.1.layer_norm.bias
2026-02-06 08:42:08 [/mnt/ConvTasNet/ConvTasNet_Separation/trainer_wavlm_align.py:197 - INFO ] 冻结参数: wavlm_encoder.encoder.feature_extractor.conv_layers.2.conv.weight
2026-02-06 08:42:08 [/mnt/ConvTasNet/ConvTasNet_Separation/trainer_wavlm_align.py:197 - INFO ] 冻结参数: wavlm_encoder.encoder.feature_extractor.conv_layers.2.layer_norm.weight
2026-02-06 08:42:08 [/mnt/ConvTasNet/ConvTasNet_Separation/trainer_wavlm_align.py:197 - INFO ] 冻结参数: wavlm_encoder.encoder.feature_extractor.conv_layers.2.layer_norm.bias
